name,slug,powerstats.intelligence,powerstats.strength,powerstats.speed,powerstats.durability,powerstats.power,powerstats.combat,appearance.height,appearance.weight,appearance.eyeColor,appearance.hairColor,appearance.gender,appearance.race,work.occupation,biography.fullName,biography.alterEgos,biography.firstAppearance,biography.aliases
Alfred Pennyworth,17-alfred-pennyworth,63,10,17,10,7,55,"[""5'10"",""178 cm""]","[""160 lb"",""72 kg""]",Blue,Black,Male,Human,"Butler; Caretaker, former Actor; Field Medic; Government Agent",Alfred Thaddeus Crane Pennyworth,No alter egos found.,"Batman #16 (April, 1943)","[""Alfred Beagle""]"
Alien,18-alien,50,28,42,90,57,60,"[""8'0"",""244 cm""]","[""375 lb"",""169 kg""]",-,No Hair,Male,Xenomorph XX121,-,Xenomorph,No alter egos found.,Alien (1979),"[""-""]"
Amazo,20-amazo,63,100,83,100,100,100,"[""8'5"",""257 cm""]","[""385 lb"",""173 kg""]",Red,-,Male,Android,-,,No alter egos found.,"Brave and the Bold #30 (July, 1960)","[""Professor Ivos Amazing Android"",""Timazo"",""Humazo"",""Hourmazo""]"
Angel,23-angel,75,30,58,90,100,75,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,Vampire,-,Liam,No alter egos found.,-,"[""Angelus"",""Twilight""]"
Angel,24-angel,63,13,46,64,28,42,"[""6'0"",""183 cm""]","[""150 lb"",""68 kg""]",Blue,Blond,Male,,"Adventurer, chairman & principal stockholder of Worthington Industries, former terrorist",Warren Kenneth Worthington III,Archangel,X-Men #54-56 (1969),"[""Formerly Death"",""Dark Angel"",""Angel"",""Avenging Angel"",""Archangel""]"
Angel Dust,25-angel-dust,38,55,23,42,17,30,"[""5'5"",""165 cm""]","[""126 lb"",""57 kg""]",Yellow,Black,Female,Mutant,-,Christina,No alter egos found.,Morlocks #1,"[""Angel"",""Dusty""]"
Angel Salvadore,26-angel-salvadore,38,10,28,28,56,60,"[""5'4"",""163 cm""]","[""121 lb"",""54 kg""]",Brown,Black,Female,,-,Angel Salvadore Bohusk,Tempest,"New X-Men #118 (November, 2001)","[""Tempest""]"
Animal Man,28-animal-man,56,48,47,85,73,80,"[""6'0"",""183 cm""]","[""185 lb"",""83 kg""]",Blue,Blond,Male,Human,-,Bernhard Baker,No alter egos found.,"Strange Adventures #180 (September, 1965)","[""The Human Zoo; A-Man; The Man with Animal Powers""]"
Annihilus,29-annihilus,75,80,47,56,59,64,"[""5'11"",""180 cm""]","[""200 lb"",""90 kg""]",Green,No Hair,Male,,"Conqueror, scavenger",Annihilus,No alter egos found.,Fantastic Four Annual #6 (1968),"[""The Living Death That Walks"",""Lord of the Negative Zone""]"
Ant-Man,30-ant-man,100,18,23,28,32,32,"[""6'11"",""211 cm""]","[""270 lb"",""122 kg""]",Blue,Blond,Male,Human,"Adventurer, Biochemist, former manager of Avengers Compound",Hank Pym,"Giant-Man, Goliath, Wasp II, Yellowjacket","Tales to Astonish #27 (January, 1962) (as Hank Pym)  Tales to Astonish #35 (September, 1962) (as Ant-Man)","[""Hank Pym"",""Doctor Pym"",""Ant-Man"",""Goliath"",""Yellowjacket"",""Wasp"",""Earth's Scientist Supreme""]"
Ant-Man II,31-ant-man-ii,75,18,17,40,53,30,"[""6'0"",""183 cm""]","[""190 lb"",""86 kg""]",Blue,Blond,Male,Human,"Electronics Technician,",Scott Lang,No alter egos found.,"Avengers Vol 1 #181 (March, 1979)","[""Myrmidon"",""Scott Edward Harris Lang""]"
Anti-Monitor,32-anti-monitor,88,100,50,100,100,90,"[""200"",""61.0 meters""]","[""- lb"",""0 kg""]",Yellow,No Hair,Male,God / Eternal,-,,No alter egos found.,Crisis on Infinite Earths #4,"[""Monitor"",""Mobius""]"
Anti-Venom,34-anti-venom,75,60,65,90,96,84,"[""7'6"",""229 cm""]","[""795 lb"",""358 kg""]",Blue,Blond,Male,Symbiote,Vigilante; former journalist for the Daily Globe,Eddie Brock,"Toxin, Venom",Amazing Spider-Man #569 (as Anti-Venom),"[""Eddie"",""Edwin Brock"",""Venom"",""Lethal Protector"",""White Venom"",""998th""]"
Apocalypse,35-apocalypse,100,100,33,100,100,60,"[""7'0"",""213 cm""]","[""300 lb"",""135 kg""]",Red,Black,Male,Mutant,Student; formerly Conqueror; Scientist,En Sabah Nur,No alter egos found.,"X-Factor #5 (June, 1986)","[""The Eternal One"",""the High Lord"",""Set"",""Huitxilopochti"",""Sauru"",""Kali-Ma""]"
Aquababy,36-aquababy,10,16,12,14,37,14,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Blue,Blond,Male,,-,"Arthur Curry, Jr.",No alter egos found.,"Aquaman #23 (October, 1965)","[""-""]"
Aqualad,37-aqualad,63,44,42,75,89,60,"[""5'10"",""178 cm""]","[""235 lb"",""106 kg""]",Blue,Black,Male,Atlantean,"Adventurer; Magician, former Sidekick",Garth,No alter egos found.,"Adventure Comics #269 (February, 1960)","[""-""]"
Aquaman,38-aquaman,81,85,79,80,100,80,"[""6'1"",""185 cm""]","[""325 lb"",""146 kg""]",Blue,Blond,Male,Atlantean,"Protector of the Seas and Oceans, King of Poseidonis",Orin,No alter egos found.,"More Fun Comics #73 (November, 1941)","[""Dweller in the Depths"",""Swimmer"",""Waterbearer"",""Mental Man"",""Aquaboy"",""Water Wraith""]"
Arachne,39-arachne,50,48,50,70,71,70,"[""5'9"",""175 cm""]","[""140 lb"",""63 kg""]",Blue,Blond,Female,Human,"Adventurer, fugitive, former government agent",Julia Carpenter,No alter egos found.,Marvel Super Heroes Secret Wars #6,"[""Spider-Woman"",""Madame Web""]"
Archangel,40-archangel,63,13,58,64,35,42,"[""6'0"",""183 cm""]","[""150 lb"",""68 kg""]",Blue,Blond,Male,Mutant,"Adventurer, Chairman & principal stockholder of Worthington Industries, Multi-Millionaire, Heir, former terrorist",Warren Kenneth Worthington III,Angel,"X-Men #1 (September, 1963)","[""War"",""Dark Angel"",""Death"",""Avenging Angel""]"
Arclight,41-arclight,38,63,23,42,52,70,"[""5'8"",""173 cm""]","[""126 lb"",""57 kg""]",Violet,Purple,Female,,Terrorist,Philippa Sontag,No alter egos found.,"(In shadow) Uncanny X-Men #210 (1986), (fully) X-Factor #10 (1986)","[""-""]"
Ardina,42-ardina,63,100,100,80,100,25,"[""6'4"",""193 cm""]","[""218 lb"",""98 kg""]",White,Orange,Female,Alien,-,Ardina,No alter egos found.,The Order #4,"[""-""]"
Ares,43-ares,75,82,35,80,84,101,"[""6'1"",""185 cm""]","[""600 lb"",""270 kg""]",Brown,Brown,Male,,-,,No alter egos found.,Thor #129,"[""God of War"",""Mister Talon"",""Mars"",""Warhawk""]"
Ariel,44-ariel,50,10,12,14,94,28,"[""5'5"",""165 cm""]","[""130 lb"",""59 kg""]",Purple,Pink,Female,,"Leader, refugee alien; former alien mutant-hunter and hedonist",Ariel,No alter egos found.,Fallen Angels #1 (1987),"[""-""]"
Armor,45-armor,50,63,12,80,55,54,"[""5'4"",""163 cm""]","[""112 lb"",""50 kg""]",Black,Black,Female,,"Adventurer, student",Hisako Ichiki,No alter egos found.,Astonishing X-Men #4 (2004),"[""X-Girl"",""Kid""]"
Atlas,48-atlas,63,80,25,100,98,50,"[""6'0"",""183 cm""]","[""225 lb"",""101 kg""]",Brown,Red,Male,Mutant,"Adventurer; former professional criminal, mercenary, dock worker, soldier",Erik Josten,"Goliath, Power Man, Smuggler",Incredible Hulk #449,"[""Power Man"",""Smuggler"",""Goliath"",""Shatterfist"",""Intruder from Beyond"",""Edward Jantzen""]"
Atlas,49-atlas,63,100,42,100,27,80,"[""6'6"",""198 cm""]","[""280 lb"",""126 kg""]",Blue,Brown,Male,God / Eternal,-,,No alter egos found.,Action Comics #121,"[""Atlas the Great"",""Atlas the Untamed""]"
Atom Girl,52-atom-girl,38,10,23,28,38,42,"[""5'6"",""168 cm""]","[""120 lb"",""54 kg""]",Black,Black,Female,,-,Salu Digby,No alter egos found.,Teen Titans/Legion Special #1 (2004),"[""Shrinking Violet""]"
Atom II,53-atom-ii,88,10,33,45,40,60,"[""6'0"",""183 cm""]","[""180 lb"",""81 kg""]",Brown,Auburn,Male,Human,Physics Professor,Ray Palmer,No alter egos found.,Showcase #34,"[""The Mighty Mite"",""the Tiny Titan"",""the World's Smallest Hero""]"
Aurora,56-aurora,63,10,96,60,74,56,"[""5'11"",""180 cm""]","[""140 lb"",""63 kg""]",Blue,Black,Female,Mutant,"Adventurer; former terrorist, nun, history/geography teacher",Jeanne-Marie Beaubier,No alter egos found.,X-Men #121 (1979),"[""Sister Beaubier""]"
Azazel,57-azazel,50,11,47,95,100,80,"[""6'0"",""183 cm""]","[""149 lb"",""67 kg""]",Yellow,Black,Male,Neyaphem,Leader of the Neyaphem,,No alter egos found.,Uncanny X-Men #428 (2003),"[""Semihazah"",""Duma"",""Keriel"",""Mastema"",""Beliar"",""Gadreel"",""Beelzebub"",""Satan""]"
Azrael,58-azrael,63,18,17,20,35,80,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Brown,Black,Male,Human,"Former Police Officer, vigilante",Michael Washington Lane,No alter egos found.,"Batman #672 (February, 2008)","[""Bat-Devil; Bat-Ghost""]"
Bane,60-bane,88,38,23,56,51,95,"[""6'8"",""203 cm""]","[""400 lb"",""180 kg""]",-,-,Male,Human,-,,No alter egos found.,"Batman: Vengeance of Bane #1 (January, 1993)","[""-""]"
Banshee,61-banshee,50,10,58,40,63,70,"[""6'0"",""183 cm""]","[""170 lb"",""77 kg""]",Green,Strawberry Blond,Male,Human,"Currently founder and director of operation for X-Corps, formerly Adventurer and Headmaster at the Massachusetts Academy, in charge of Generation X, Interpol Inspector and Agent, freelance detective, professional criminal, involuntary operative for Factor",Sean Cassidy,No alter egos found.,"X-Men #28 (January, 1967)","[""Death""]"
Bantam,62-bantam,25,53,23,54,21,56,"[""5'5"",""165 cm""]","[""119 lb"",""54 kg""]",Brown,Black,Male,,"Adventurer, boxing trainer, former boxer",Roberto Velasquez,No alter egos found.,"Civil War: Front Line #3 (September, 2006)","[""-""]"
Batgirl,63-batgirl,88,11,33,40,34,90,"[""5'7"",""170 cm""]","[""126 lb"",""57 kg""]",Green,Red,Female,Human,-,Barbara Gordon,Oracle,Detective Comics #359,"[""Oracle"",""Bluebelle""]"
Batgirl IV,66-batgirl-iv,69,12,27,56,46,100,"[""5'5"",""165 cm""]","[""115 lb"",""52 kg""]",Green,Black,Female,Human,-,Cassandra Cain,No alter egos found.,Batman: Legends of the Dark Knight #120,"[""Kasumi"",""various mundane persona,""]"
Batgirl VI,68-batgirl-vi,75,10,23,28,22,80,"[""5'6"",""168 cm""]","[""135 lb"",""61 kg""]",Blue,Blond,Female,,College student at Gotham University,Stephanie Brown,Spoiler,Detective Comics #647. As Batgirl in Batgirl (Volume 3) #1. (2009),"[""Steph"",""Robin"",""Marion Todd"",""Spoiler""]"
Batman,69-batman,81,40,29,55,63,90,"[""5'10"",""178 cm""]","[""170 lb"",""77 kg""]",Blue,Black,Male,Human,-,Terry McGinnis,No alter egos found.,Batman Beyond #1,"[""Batman II"",""The Tomorrow Knight"",""The second Dark Knight"",""The Dark Knight of Tomorrow"",""Batman Beyond""]"
Batman,70-batman,100,26,27,50,47,100,"[""6'2"",""188 cm""]","[""210 lb"",""95 kg""]",blue,black,Male,Human,Businessman,Bruce Wayne,No alter egos found.,Detective Comics #27,"[""Insider"",""Matches Malone""]"
Batman II,71-batman-ii,88,11,33,28,36,100,"[""5'10"",""178 cm""]","[""175 lb"",""79 kg""]",Blue,Black,Male,Human,-,Dick Grayson,"Nightwing, Robin",-,"[""Dick Grayson""]"
Battlestar,72-battlestar,50,53,35,74,48,74,"[""6'6"",""198 cm""]","[""295 lb"",""133 kg""]",Brown,Black,Male,,"Former wrestler, federal operative",Lemar Hoskins,No alter egos found.,Captain America #323 (1986); (as Bucky),"[""Bucky""]"
Batwoman V,73-batwoman-v,81,8,29,25,27,80,"[""5'10"",""178 cm""]","[""- lb"",""0 kg""]",Green,Red,Female,Human,-,Katherine Rebecca Kane,No alter egos found.,"52 #7 (June, 2006)","[""-""]"
Beast,75-beast,94,48,38,60,43,85,"[""5'11"",""180 cm""]","[""402 lb"",""181 kg""]",Blue,Blue,Male,Mutant,"Biochemist, formerly Xavier Institute for Higher Learning science and math Instructor, mutant activist, college lecturer, researcher, professional wrestler",Henry Philip McCoy,No alter egos found.,"X-MEN Vol. 1 #1, (in furry ape form) AMAZING ADVENTURES #11, (in current feline form) NEW X-MEN Vol. 1 #114","[""Dr. McCoy"",""Hanko"",""Kreature"",""Mutate #666"",""Magilla Gorilla"",""Golden Armed Boy""]"
Beast Boy,76-beast-boy,50,28,50,70,79,40,"[""5'8"",""173 cm""]","[""150 lb"",""68 kg""]",Green,Green,Male,Human,"Adventurer, Struggling Actor",Garfield Mark Logan,No alter egos found.,"Doom Patrol #99 (November, 1965)","[""Changeling"",""Beast-Brat"",""Green Jeans"",""Salad-head"",""Sprout"",""Tork"",""Craig Logan""]"
Ben 10,78-ben-10,10,7,8,10,90,40,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,,-,Benjamin Kirby Tennyson,No alter egos found.,Ben 10 S01E01,"[""Ben Ten""]"
Beta Ray Bill,79-beta-ray-bill,63,80,35,95,100,84,"[""6'7"",""201 cm""]","[""480 lb"",""216 kg""]",-,No Hair,Male,,Guardian of the Korbinite race,Beta Ray Bill (translation of his Korbinite name),No alter egos found.,Thor #337,"[""Beta Ray Thor"",""Simon Walters""]"
Beyonder,80-beyonder,100,100,100,100,100,84,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,God / Eternal,Former student,,No alter egos found.,Marvel Super-Heroes Secret Wars #1,"[""Ataxi"",""The Beyond Realm"",""Frank"",""Goblin Force"",""Goblin King"",""Goblyn King"",""Goblin Queen"",""The One From Beyond"",""God"",""Kosmos"",""Maker""]"
Big Barda,81-big-barda,88,100,79,100,100,100,"[""6'2"",""188 cm""]","[""300 lb"",""135 kg""]",Blue,Black,Female,New God,-,Barda Free,No alter egos found.,Mister Miracle (Volume 1) #4,"[""Barda"",""the Strongest Woman in the World""]"
Big Daddy,82-big-daddy,38,10,12,32,22,64,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,,-,Damon Macready,No alter egos found.,Kick-Ass #4,"[""-""]"
Big Man,83-big-man,75,12,23,28,19,70,"[""5'5"",""165 cm""]","[""157 lb"",""71 kg""]",Blue,Brown,Male,,"Reporter, professional criminal",Frederick Foswell,No alter egos found.,Amazing Spider-Man # 10 (1964),"[""Patch""]"
Bill Harken,84-bill-harken,63,36,33,60,27,40,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,Alpha,-,,No alter egos found.,-,"[""-""]"
Bionic Woman,87-bionic-woman,56,37,33,40,20,40,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Blue,Black,Female,Cyborg,-,Jamie Sommers,No alter egos found.,-,"[""Clarissa Whyte""]"
Bird-Brain,88-bird-brain,25,10,35,28,21,42,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,-,,-,,No alter egos found.,"The New Mutants #56 (October, 1987)","[""Bird-Boy""]"
Bishop,92-bishop,63,14,23,75,100,65,"[""6'6"",""198 cm""]","[""275 lb"",""124 kg""]",Brown,No Hair,Male,Mutant,"(current) Adventurer, (former) Commander in the XSE (Xavier's Security Enforcers)",Lucas Bishop,No alter egos found.,"Uncanny X-Men #282 (November, 1991)","[""Archbishop""]"
Bizarro,93-bizarro,38,95,100,100,100,85,"[""6'3"",""191 cm""]","[""345 lb"",""155 kg""]",Black,Black,Male,Bizarro,-,Bizarro,No alter egos found.,Superboy Vol. 1 #68 (1958),"[""-""]"
Black Adam,95-black-adam,88,100,92,100,100,56,"[""6'3"",""191 cm""]","[""250 lb"",""113 kg""]",Brown,Black,Male,,-,Teth-Adam,No alter egos found.,"Marvel Family #1 (December, 1945)","[""Hassan Bari"",""Theo Adam"",""Mighty Adam"",""Khem-Adam""]"
Black Bolt,96-black-bolt,75,67,100,84,100,56,"[""6'2"",""188 cm""]","[""210 lb"",""95 kg""]",Blue,Black,Male,Inhuman,King of the Inhumans,Blackagar Boltagon,No alter egos found.,"Fantastic Four #45 (December, 1965)","[""-""]"
Black Canary,97-black-canary,63,8,33,20,52,80,"[""5'7"",""170 cm""]","[""130 lb"",""59 kg""]",Blue,Blond,Female,Metahuman,"Detective/Crime-fighter, Chairperson of the Justice League of America; former florist, judo instructor",Laurel Lance,No alter egos found.,Justice League of America (Volume 1) #75,"[""Dinah Laurel Lance Queen; Dinah Laurel Lance-Windrow""]"
Black Canary,98-black-canary,63,8,33,15,45,80,"[""5'5"",""165 cm""]","[""128 lb"",""58 kg""]",Blue,Blond,Female,Human,"Florist, former private investigator",Dinah Drake Lance,No alter egos found.,"Flash Comics #86 (August, 1947)","[""-""]"
Black Cat,99-black-cat,75,16,33,10,23,70,"[""5'10"",""178 cm""]","[""120 lb"",""54 kg""]",Green,Blond,Female,Human,"Cat burglar; Private investigator, founder of Cat's Eye Investigations.",Felicia Hardy,No alter egos found.,"Amazing Spider-Man #194 (July, 1979)","[""Felicity Harmon""]"
Black Flash,100-black-flash,44,10,100,80,100,30,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",-,-,Male,God / Eternal,-,,No alter egos found.,Flash Vol 2 #138,"[""Barry Allen"",""Flashback"",""Slow Lightning"",""Black Racer"",""Death Flash"",""God of Death""]"
Black Knight III,102-black-knight-iii,63,10,8,70,43,70,"[""6'0"",""183 cm""]","[""190 lb"",""86 kg""]",Brown,Brown,Male,Human,"Adventurer, scientist; former crusader",Dane Whitman,No alter egos found.,Avengers #47 (1967),"[""The Pendragon"",""Gann Josin"",""Eobar Garrington""]"
Black Lightning,103-black-lightning,50,11,53,28,70,75,"[""6'1"",""185 cm""]","[""200 lb"",""90 kg""]",Brown,No Hair,Male,,"Crime Fighter, High School teacher, Former gold-medal-winning Olympic Decathlete, formerly Secretary of Education under Presidents Pete Ross and Lex Luthor.",Jefferson Pierce,No alter egos found.,Black Lightning #1 (April 1977),"[""-""]"
Black Mamba,104-black-mamba,75,10,35,42,88,65,"[""5'7"",""170 cm""]","[""115 lb"",""52 kg""]",Green,Black,Female,,"Mercenary, professional criminal, former call girl",Tanya Sealy,No alter egos found.,Marvel Two-In-One #64,"[""Tanya Sweet""]"
Black Manta,105-black-manta,75,28,50,60,76,85,"[""6'2"",""188 cm""]","[""205 lb"",""92 kg""]",Black,No Hair,Male,Human,-,David,No alter egos found.,"Aquaman #35 (August, 1967)","[""Devil Ray"",""Scourge of the Seven Seas"",""Yellow Lantern""]"
Black Panther,106-black-panther,88,16,30,60,41,100,"[""6'0"",""183 cm""]","[""200 lb"",""90 kg""]",Brown,Black,Male,Human,"King and Chieftain of Wakanda, scientist; former school teacher",T'Challa,No alter egos found.,Fantastic Four Vol. 1 #52 (1966),"[""Mr. Okonkwo"",""The Man Without Fear"",""Luke Charles"",""Black Leopard"",""the Client"",""Coal Tiger"",""has impersonated Daredevil and others on occasion""]"
Black Widow,107-black-widow,75,13,33,30,36,100,"[""5'7"",""170 cm""]","[""131 lb"",""59 kg""]",Green,Auburn,Female,Human,"Adventurer, Intelligence agent, former ballerina",Natasha Romanoff,No alter egos found.,Tales of Suspense #52,"[""Yelena Belova"",""Natasha Romanoff"",""Natasha"",""Tasha"",""Madame Natasha"",""Nancy Rushman"",""Laura Matthers"",""Nadine Roman"",""\""Oktober\"""",""Black Pearl"",""Ebon Flame""]"
Blackout,109-blackout,63,32,45,80,45,65,"[""6'3"",""191 cm""]","[""230 lb"",""104 kg""]",Red,White,Male,Demon,"Assassin, enforcer",,No alter egos found.,"Ghost Rider Vol 3 #2 (June, 1990)","[""-""]"
Blackwing,110-blackwing,38,10,35,32,20,56,"[""6'1"",""185 cm""]","[""190 lb"",""86 kg""]",Blue,Black,Male,,-,Joseph Manfredi,No alter egos found.,"Daredevil #118 (February, 1975)","[""Blackwing"",""Joe Manfredi"",""Joe Silvermane"",""Guiseppi Manfredi""]"
Blackwulf,111-blackwulf,50,28,8,30,69,25,"[""6'2"",""188 cm""]","[""195 lb"",""88 kg""]",Red,White,Male,Alien,Freedom Fighter,Lucian,No alter egos found.,"Thunderstrike #6 (March, 1994)","[""Pelops"",""Black Wolf""]"
Blade,112-blade,63,28,38,50,40,90,"[""6'2"",""188 cm""]","[""215 lb"",""97 kg""]",Brown,Black,Male,Vampire,"Vampire hunter, former private investigator.",Eric Brooks,No alter egos found.,Tomb of Dracula Vol. 1 #10 (1973),"[""Switchblade"",""Frank Blade"",""Daywalker""]"
Bling!,114-bling!,69,14,12,90,52,28,"[""5'6"",""168 cm""]","[""152 lb"",""68 kg""]",-,-,Female,,-,Roxanne Washington,No alter egos found.,X-Men #171 (2005),"[""-""]"
Blink,115-blink,50,8,20,28,77,64,"[""5'5"",""165 cm""]","[""125 lb"",""56 kg""]",Green,Magenta,Female,Mutant,"Adventurer, freedom fighter",Clarice Ferguson,No alter egos found.,"Uncanny X-Men #317 (October, 1994)","[""-""]"
Blizzard II,118-blizzard-ii,38,10,27,42,47,56,"[""5'9"",""175 cm""]","[""170 lb"",""77 kg""]",Brown,Brown,Male,,Adventurer; former mercenary and professional criminal,Donald Gill,No alter egos found.,Iron Man #223 (1987),"[""-""]"
Blob,119-blob,10,83,23,95,28,72,"[""5'10"",""178 cm""]","[""510 lb"",""230 kg""]",Brown,Brown,Male,,"Former criminal, terrorist, government agent, carnival performer",Frederick J. Dukes,No alter egos found.,X-Men #3 (1964),"[""-""]"
Bloodaxe,120-bloodaxe,63,80,33,80,100,84,"[""7'2"",""218 cm""]","[""1100 lb"",""495 kg""]",Blue,Brown,Female,Human,"Architect, former vigilante",Jackie Lukus,No alter egos found.,(as Jackie Lukus) Thor #392 (as Bloodaxe) Thor #449,"[""-""]"
Bloodhawk,121-bloodhawk,50,10,50,80,80,64,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Black,No Hair,Male,Mutant,-,Lemuel Krug,No alter egos found.,X-Men (2099) #1,"[""Lemuel Halcon""]"
Blue Beetle III,126-blue-beetle-iii,50,34,58,80,100,30,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Brown,Black,Male,Human,Student,Jaime Reyes,No alter egos found.,Infinite Crisis #3 (2006),"[""Scooter""]"
Boba Fett,127-boba-fett,63,10,38,36,68,70,"[""6'0"",""183 cm""]","[""- lb"",""0 kg""]",Brown,Black,Male,Human / Clone,Bounty Hunter,,No alter egos found.,-,"[""Teff"",""Sava Brek Madak"",""Jaster Mereel"",""Mandalore"",""Mand'alor""]"
Boom-Boom,130-boom-boom,38,10,12,42,57,64,"[""5'5"",""165 cm""]","[""122 lb"",""55 kg""]",Blue,Blond,Female,Mutant,"Adventurer, former student, thief",Tabitha Smith,Meltdown,Secret Wars II #5,"[""Time Bomb"",""Boomer"",""Meltdown"",""Tabby"",""Firecracker"",""Mutate #35"",""Nancy Forrester""]"
Box IV,135-box-iv,50,75,23,28,11,56,"[""-"",""0 cm""]","[""- lb"",""0 kg""]",Brown,Brown / Black,-,,"Inventor, former soldier",Madison Jeffries,Gemini V,Alpha Flight #16,"[""Gemini"",""Jack-In-The-Box""]"
Brainiac,136-brainiac,100,95,63,90,60,75,"[""6'6"",""198 cm""]","[""300 lb"",""135 kg""]",Green,No Hair,Male,Android,-,Vril Dox,No alter egos found.,Action Comics #242 (July 1958),"[""Milton Fine""]"
